type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,shelf,weight,cups,rating,name_100% Bran,name_100% Natural Bran,name_All-Bran,name_All-Bran with Extra Fiber,name_Almond Delight,name_Apple Cinnamon Cheerios,name_Apple Jacks,name_Basic 4,name_Bran Chex,name_Bran Flakes,name_Cap'n'Crunch,name_Cheerios,name_Cinnamon Toast Crunch,name_Clusters,name_Cocoa Puffs,name_Corn Chex,name_Corn Flakes,name_Corn Pops,name_Count Chocula,name_Cracklin' Oat Bran,name_Cream of Wheat (Quick),name_Crispix,name_Crispy Wheat & Raisins,name_Double Chex,name_Froot Loops,name_Frosted Flakes,name_Frosted Mini-Wheats,name_Fruit & Fibre Dates; Walnuts; and Oats,name_Fruitful Bran,name_Fruity Pebbles,name_Golden Crisp,name_Golden Grahams,name_Grape Nuts Flakes,name_Grape-Nuts,name_Great Grains Pecan,name_Honey Graham Ohs,name_Honey Nut Cheerios,name_Honey-comb,name_Just Right Crunchy  Nuggets,name_Just Right Fruit & Nut,name_Kix,name_Life,name_Lucky Charms,name_Maypo,name_Muesli Raisins; Dates; & Almonds,name_Muesli Raisins; Peaches; & Pecans,name_Mueslix Crispy Blend,name_Multi-Grain Cheerios,name_Nut&Honey Crunch,name_Nutri-Grain Almond-Raisin,name_Nutri-grain Wheat,name_Oatmeal Raisin Crisp,name_Post Nat. Raisin Bran,name_Product 19,name_Puffed Rice,name_Puffed Wheat,name_Quaker Oat Squares,name_Quaker Oatmeal,name_Raisin Bran,name_Raisin Nut Bran,name_Raisin Squares,name_Rice Chex,name_Rice Krispies,name_Shredded Wheat,name_Shredded Wheat 'n'Bran,name_Shredded Wheat spoon size,name_Smacks,name_Special K,name_Strawberry Fruit Wheats,name_Total Corn Flakes,name_Total Raisin Bran,name_Total Whole Grain,name_Triples,name_Trix,name_Wheat Chex,name_Wheaties,name_Wheaties Honey Gold,mfr_A,mfr_G,mfr_K,mfr_N,mfr_P,mfr_Q,mfr_R,vitamins_FDA_0,vitamins_FDA_100,vitamins_FDA_25,class_rating
1,70,4,1,130,10.0,5.0,6.0,280.0,3,1.0,0.33,68.402973,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,cukup
1,120,3,5,15,2.0,8.0,8.0,135.0,3,1.0,1.0,33.983678999999995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,buruk
1,70,4,1,260,9.0,7.0,5.0,320.0,3,1.0,0.33,59.425505,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,rendah
1,50,4,0,140,14.0,8.0,0.0,330.0,3,1.0,0.5,93.704912,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,sangat baik
1,110,2,2,200,1.0,14.0,8.0,0.0,3,1.0,0.75,34.384843,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,buruk
1,110,2,2,180,1.5,10.5,10.0,70.0,1,1.0,0.75,29.509541,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,buruk
1,110,2,0,125,1.0,11.0,14.0,30.0,2,1.0,1.0,33.174094000000004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,buruk
1,130,3,2,210,2.0,18.0,8.0,100.0,3,1.33,0.75,37.038562,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,buruk
1,90,2,1,200,4.0,15.0,6.0,125.0,1,1.0,0.67,49.120253000000005,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,buruk
1,90,3,0,210,5.0,13.0,5.0,190.0,3,1.0,0.67,53.313813,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,rendah
