profile_id,primary_sales_product_type,first_booking_time,first_issued_time,last_booking_time,last_issued_time,avg_booking_invoice_amount_idr,avg_issued_invoice_amount_idr,count_booking,count_issued
5385218,FLIGHT,1970-01-01 00:23:49.872637145,1970-01-01 00:23:55.680428675,1970-01-01 00:24:10.163614220,1970-01-01 00:24:10.163961409,1045846.875,1670801.6,16,5
48712328,HOTEL,1970-01-01 00:25:22.836751128,,1970-01-01 00:25:23.631554473,,361080.93333333335,,15,0
13137349,FLIGHT,1970-01-01 00:25:28.339159442,1970-01-01 00:25:28.340088313,1970-01-01 00:25:28.342340141,1970-01-01 00:25:28.341992843,1544865.4696,1212945.8696,4,2
38355552,TRAIN,1970-01-01 00:25:22.355335000,,1970-01-01 00:25:22.355335000,,149525.0,,1,0
10573609,FLIGHT,1970-01-01 00:24:27.828719998,,1970-01-01 00:24:27.828719998,,786348.7457280003,,1,0
5370877,TRAIN,1970-01-01 00:24:57.707391000,1970-01-01 00:24:57.707738000,1970-01-01 00:25:47.286280000,1970-01-01 00:25:47.285578000,689798.0666666667,852545.875,15,8
6297748,HOTEL,1970-01-01 00:24:21.588649675,1970-01-01 00:24:21.685229357,1970-01-01 00:25:39.522282129,1970-01-01 00:25:39.522457569,1271458.0,843329.2,7,5
78313545,HOTEL,1970-01-01 00:25:35.640020309,,1970-01-01 00:25:37.426686301,,633355.4145,,2,0
3344491,HOTEL,1970-01-01 00:24:51.978892007,1970-01-01 00:24:51.979265755,1970-01-01 00:25:18.701136607,1970-01-01 00:25:18.701988735,956583.0,956583.0,2,2
76822875,TRAIN,1970-01-01 00:25:34.913906000,,1970-01-01 00:25:34.914386000,,74709.0,,2,0
13801345,FLIGHT,1970-01-01 00:24:41.703648654,,1970-01-01 00:24:41.703648654,,1087904.0,,1,0
4495251,HOTEL,1970-01-01 00:23:39.314207617,,1970-01-01 00:23:39.346810601,,534870.4,,5,0
28986609,HOTEL,1970-01-01 00:25:14.165144982,1970-01-01 00:25:14.165353425,1970-01-01 00:25:34.421352741,1970-01-01 00:25:34.424278943,355855.75,378518.0,4,2
9461333,FLIGHT,1970-01-01 00:24:23.799828551,1970-01-01 00:24:32.441819743,1970-01-01 00:25:48.742681770,1970-01-01 00:25:48.415467013,1417240.399152482,1040830.4553876772,81,31
24037149,HOTEL,1970-01-01 00:25:10.393607976,,1970-01-01 00:25:10.393607976,,1132269.0,,1,0
13022183,FLIGHT,1970-01-01 00:24:50.702771883,1970-01-01 00:24:50.703190033,1970-01-01 00:25:33.996997314,1970-01-01 00:25:33.776780502,2952774.2659818185,3629696.506,11,5
4274336,TRAIN,1970-01-01 00:24:51.467731000,1970-01-01 00:24:51.467955000,1970-01-01 00:25:43.896224000,1970-01-01 00:25:43.897581000,656259.0,568712.0,7,3
16244824,FLIGHT,1970-01-01 00:24:50.024757558,,1970-01-01 00:24:50.024757558,,438836.0,,1,0
5709831,FLIGHT,1970-01-01 00:23:53.254538547,1970-01-01 00:23:53.254797691,1970-01-01 00:24:52.508284489,1970-01-01 00:24:52.508761408,580580.4347826088,590104.5238095238,23,21
10980350,FLIGHT,1970-01-01 00:24:29.437578217,1970-01-01 00:24:29.441408061,1970-01-01 00:25:44.769455629,1970-01-01 00:25:35.342448358,982921.7857142858,1010488.0,14,9
103950646,TRAIN,1970-01-01 00:25:48.989747000,1970-01-01 00:25:48.990384000,1970-01-01 00:25:48.989747000,1970-01-01 00:25:48.990384000,282151.0,282151.0,1,1
43669427,TRAIN,1970-01-01 00:25:29.491756000,1970-01-01 00:25:29.492001000,1970-01-01 00:25:29.492672000,1970-01-01 00:25:29.492903000,174528.0,174528.0,2,2
35289443,TRAIN,1970-01-01 00:25:33.905544000,1970-01-01 00:25:33.911486000,1970-01-01 00:25:44.924502000,1970-01-01 00:25:44.925686000,1696603.4285714286,1359695.0,7,3
57334989,FLIGHT,1970-01-01 00:25:26.437790061,,1970-01-01 00:25:27.642445742,,1334769.6799999997,,2,0
31139648,FLIGHT,1970-01-01 00:25:14.848056961,1970-01-01 00:25:15.152567790,1970-01-01 00:25:15.490631215,1970-01-01 00:25:15.494737949,3208935.875,2546625.0,8,3
25651352,HOTEL,1970-01-01 00:25:12.391941917,,1970-01-01 00:25:12.472083608,,229182.5,,2,0
4075089,HOTEL,1970-01-01 00:24:09.050440793,,1970-01-01 00:24:09.127175172,,1788942.0,,3,0
19906488,FLIGHT,1970-01-01 00:24:59.521202662,,1970-01-01 00:25:15.986980913,,718923.75,,4,0
14393684,HOTEL,1970-01-01 00:24:54.860351116,1970-01-01 00:24:54.862731117,1970-01-01 00:24:54.861528100,1970-01-01 00:24:54.862731117,243566.5,243593.0,4,1
4694651,FLIGHT,1970-01-01 00:23:50.370993520,1970-01-01 00:23:50.372484658,1970-01-01 00:25:46.487409742,1970-01-01 00:25:45.893121461,1189149.6818181816,1161160.142857143,44,21
13565134,HOTEL,1970-01-01 00:24:40.906868510,,1970-01-01 00:24:40.906868610,,279487.0,,2,0
7020461,FLIGHT,1970-01-01 00:24:06.532898366,1970-01-01 00:24:06.534529802,1970-01-01 00:24:32.718584305,1970-01-01 00:24:22.363974179,1002065.8,1155355.888888889,15,9
18047717,FLIGHT,1970-01-01 00:24:54.945179230,1970-01-01 00:25:01.387865620,1970-01-01 00:25:01.385364713,1970-01-01 00:25:01.387865620,695079.7849489999,544393.6527819999,3,1
7821123,FLIGHT,1970-01-01 00:25:01.311327614,1970-01-01 00:25:01.311946398,1970-01-01 00:25:01.311327614,1970-01-01 00:25:01.311946398,1759569.0,1759569.0,1,1
10645413,FLIGHT,1970-01-01 00:24:28.093270743,1970-01-01 00:24:59.238430075,1970-01-01 00:25:07.917964496,1970-01-01 00:25:07.918580159,2685595.375,1128860.3333333333,16,3
40258943,HOTEL,1970-01-01 00:25:25.160766919,1970-01-01 00:25:25.161197917,1970-01-01 00:25:38.883843187,1970-01-01 00:25:38.884021228,361755.6666666666,349512.25,9,8
85754574,FLIGHT,1970-01-01 00:25:39.594234859,,1970-01-01 00:25:39.594234859,,5203839.0,,1,0
55773293,FLIGHT,1970-01-01 00:25:25.763367664,,1970-01-01 00:25:27.085192510,,728652.012324,,2,0
20061851,HOTEL,1970-01-01 00:25:01.821785548,1970-01-01 00:25:01.822765388,1970-01-01 00:25:23.790052116,1970-01-01 00:25:23.790228899,292786.125,300288.25,8,4
3989095,FLIGHT,1970-01-01 00:23:31.470031628,1970-01-01 00:23:31.472218383,1970-01-01 00:23:31.470031628,1970-01-01 00:23:31.472218383,1338294.0,1338294.0,1,1
12090327,FLIGHT,1970-01-01 00:24:50.753136582,1970-01-01 00:24:50.755142992,1970-01-01 00:25:06.314176053,1970-01-01 00:25:06.314337366,1480544.0,1276964.3333333333,6,3
27279951,FLIGHT,1970-01-01 00:25:13.231678473,,1970-01-01 00:25:20.862360832,,879472.7272727274,,11,0
70588108,FLIGHT,1970-01-01 00:25:31.845594875,,1970-01-01 00:25:31.845594875,,904100.0,,1,0
6137889,HOTEL,1970-01-01 00:23:56.973014009,1970-01-01 00:23:56.974383413,1970-01-01 00:25:45.626507580,1970-01-01 00:25:43.931691779,893653.2972972973,586152.1666666665,37,18
19221171,HOTEL,1970-01-01 00:24:58.059679775,,1970-01-01 00:24:58.059830802,,418462.0,,2,0
7677754,FLIGHT,1970-01-01 00:24:11.731727093,,1970-01-01 00:24:14.597687925,,3962879.374,,4,0
16585676,HOTEL,1970-01-01 00:24:55.526592373,1970-01-01 00:24:55.526815621,1970-01-01 00:24:55.526592373,1970-01-01 00:24:55.526815621,567338.0,567338.0,1,1
31366441,FLIGHT,1970-01-01 00:25:18.248897354,1970-01-01 00:25:18.446667012,1970-01-01 00:25:47.189720406,1970-01-01 00:25:47.190544269,552100.75,593297.0,20,6
7151380,FLIGHT,1970-01-01 00:24:07.920003506,1970-01-01 00:24:09.242234060,1970-01-01 00:25:38.642690708,1970-01-01 00:25:07.302075744,7031784.833333333,6313778.0,12,3
10345902,TRAIN,1970-01-01 00:24:54.024429000,1970-01-01 00:24:54.041438000,1970-01-01 00:25:34.725045000,1970-01-01 00:25:34.725245000,658992.1538461539,584881.5,13,8
9272949,HOTEL,1970-01-01 00:24:33.159705004,1970-01-01 00:24:33.160005502,1970-01-01 00:24:49.751274399,1970-01-01 00:24:49.751443791,1915823.0268914285,2196078.6,7,5
10799644,HOTEL,1970-01-01 00:24:28.583305234,,1970-01-01 00:24:28.583305234,,216317.65155,,1,0
23644307,TRIP,1970-01-01 00:25:45.144393000,1970-01-01 00:25:45.144734000,1970-01-01 00:25:45.144393000,1970-01-01 00:25:45.144734000,3339956.0,3339956.0,1,1
